번호|평점|영화|140자평|글쓴이|날짜
16586490|"파바로티

별점 - 총 10점 중10


신고"|파바로티||meik****|20.01.06
16586489|"미드웨이

별점 - 총 10점 중10

왜 별이 다섯개 밖에 없지? 
			
			
			
				
				
				
				신고"|미드웨이|왜 별이 다섯개 밖에 없지? |king****|20.01.06
16586488|"PMC: 더 벙커

별점 - 총 10점 중1

그냥저냥 액션이나 영상은 볼만.. 하지만 내용도 어거지고 스토리가 참..;;; 거기다 막판에 수송기에 호위하는 미군 전투기가 중국 공군한테 쳐발리는거.  ㅋㅋㅋ 
			
			
			
				
				
				
				신고"|PMC: 더 벙커|그냥저냥 액션이나 영상은 볼만.. 하지만 내용도 어거지고 스토리가 참..;;; 거기다 막판에 수송기에 호위하는 미군 전투기가 중국 공군한테 쳐발리는거.  ㅋㅋㅋ |pooh****|20.01.06
16586487|"제로 다크 서티

별점 - 총 10점 중9

캐서린 비글로우 감독이 작품성을 보증하고, 주연 제시카 차스테인(미스 슬로운 등)의 연기도 훌륭하다. 9.11테러후 빈라덴 암살까지의 추적 과정을 굉장히 잘 보여주고 있다. 다만 미국의 납치,고문,암살을 세련되게 정당화시키는 점이 무서운 점이다. 
			
			
			
				
				
				
				신고"|제로 다크 서티|캐서린 비글로우 감독이 작품성을 보증하고, 주연 제시카 차스테인(미스 슬로운 등)의 연기도 훌륭하다. 9.11테러후 빈라덴 암살까지의 추적 과정을 굉장히 잘 보여주고 있다. 다만 미국의 납치,고문,암살을 세련되게 정당화시키는 점이 무서운 점이다. |k2po****|20.01.06
16586486|"천문: 하늘에 묻는다

별점 - 총 10점 중10


신고"|천문: 하늘에 묻는다||art6****|20.01.06
16586485|"포드 V 페라리

별점 - 총 10점 중10

조조랑 심야 밖에 안하는데 120만이면 백두산 만큼 상영관 줬으면 거의 1000만이라는 얘긴데..? 
			
			
			
				
				
				
				신고"|포드 V 페라리|조조랑 심야 밖에 안하는데 120만이면 백두산 만큼 상영관 줬으면 거의 1000만이라는 얘긴데..? |baby****|20.01.06
16586484|"시동

별점 - 총 10점 중10

시동 너무너무 재미있어요 그리고 마동석 변신 너무너무 귀여워요 그리고 축복합니다 그리고 300만만큼사랑해 그리고 300만 진심으로 축하드립니다 
			
			
			
				
				
				
				신고"|시동|시동 너무너무 재미있어요 그리고 마동석 변신 너무너무 귀여워요 그리고 축복합니다 그리고 300만만큼사랑해 그리고 300만 진심으로 축하드립니다 |thdd****|20.01.06
16586483|"백두산

별점 - 총 10점 중8

cg가 많이 나오고 이병헌연기는 깔게없네요 스토리는 좀 상투적 
			
			
			
				
				
				
				신고"|백두산|cg가 많이 나오고 이병헌연기는 깔게없네요 스토리는 좀 상투적 |ara7****|20.01.06
16586482|"천문: 하늘에 묻는다

별점 - 총 10점 중9

최민식, 한석규씨의 연기는 정말 일품이었습니다. 주변의 조연 분들도 모두 뛰어나구요. 전 어릴적에 국사 시간에 장영실이 왕의 어가를 부실하게 만들어 파직되었다고 하는데, 믿기가 어려웠습니다. 그렇게 대단한 기술자로 왕의 총애를 받을 정도이면, 대단한 프로페셔널일꺼고 장인정신도 높을것이라 생각했을꺼라 어가를 부실하게 만든다는것도 믿기 어려우며, 단순히 그 실수 하나로 파직된다는것도 믿기 어려웠습니다. 이 영화는 그런 저의 오랜 궁금증을 상상이나마 해소할 수 있는 좋은 영화였습니다.단, 1점을 깍은 이유는 세종과 장영실의 브로멘스가 제 입장에선 좀 과했기에 그 부분만 아니라면 정말 최고의 영화라고 생각됩니다. 
			
			
			
				
				
				
				신고"|천문: 하늘에 묻는다|최민식, 한석규씨의 연기는 정말 일품이었습니다. 주변의 조연 분들도 모두 뛰어나구요. 전 어릴적에 국사 시간에 장영실이 왕의 어가를 부실하게 만들어 파직되었다고 하는데, 믿기가 어려웠습니다. 그렇게 대단한 기술자로 왕의 총애를 받을 정도이면, 대단한 프로페셔널일꺼고 장인정신도 높을것이라 생각했을꺼라 어가를 부실하게 만든다는것도 믿기 어려우며, 단순히 그 실수 하나로 파직된다는것도 믿기 어려웠습니다. 이 영화는 그런 저의 오랜 궁금증을 상상이나마 해소할 수 있는 좋은 영화였습니다.단, 1점을 깍은 이유는 세종과 장영실의 브로멘스가 제 입장에선 좀 과했기에 그 부분만 아니라면 정말 최고의 영화라고 생각됩니다. |yysi****|20.01.06
16586480|"천문: 하늘에 묻는다

별점 - 총 10점 중6


신고"|천문: 하늘에 묻는다||alic****|20.01.06
16586490|"파바로티

별점 - 총 10점 중10


신고"|파바로티||meik****|20.01.06
